side,symbol,entry_ts,exit_ts,tranches,shares,avg_cost,exit_price,pnl,ret,reason,hold_minutes,max_adverse_pct,gap_fill
long_tqqq,TQQQ,2018-08-08 09:35:00-04:00,2018-08-08 09:44:00-04:00,1,7987.216061333034,4.173335624999999,4.1747865625000005,11.588951304001256,0.00034766853911993856,score_neutral,9,-0.002296873738737215,False
long_sqqq,SQQQ,2018-08-08 09:44:00-04:00,2018-08-08 09:44:00-04:00,1,0.5516005794012485,60430.200000000004,60419.775,-5.750436040259621,-0.0001725130812078035,score_neutral,0,-0.0004997501249376368,False
long_sqqq,SQQQ,2018-08-08 09:53:00-04:00,2018-08-08 09:56:00-04:00,1,0.552515339897768,60330.15,60369.8,21.907233226947305,0.0006572169968084296,score_neutral,3,-0.0013285231347841542,False
long_sqqq,SQQQ,2018-08-08 10:16:00-04:00,2018-08-08 10:19:00-04:00,1,0.5538931836381614,60180.075000000004,60219.875,22.044948708796408,0.0006613484612638665,score_neutral,3,-0.0013305899003948074,False
long_sqqq,SQQQ,2018-08-08 11:02:00-04:00,2018-08-08 11:50:00-04:00,1,0.558302052716136,59704.837499999994,59870.05,92.23847788436949,0.0027671543365310747,score_neutral,48,-0.0017559297435487675,False
long_sqqq,SQQQ,2018-08-09 10:42:00-04:00,2018-08-09 10:52:00-04:00,1,0.5599441175770657,59529.75,59520.225000000006,-5.333467719918292,-0.00016000403159754928,score_neutral,10,-0.0013396663013031107,False
long_sqqq,SQQQ,2018-08-09 13:44:00-04:00,2018-08-09 14:15:00-04:00,1,0.561359309112644,59379.67499999998,59320.325,-33.31667499582643,-0.0009995002498748295,score_neutral,31,-0.00134178908860616,False
long_tqqq,TQQQ,2018-08-10 09:37:00-04:00,2018-08-10 10:32:00-04:00,1,8035.37533815747,4.148323125,4.14542625,-23.27747793272687,-0.0006983243379817816,score_neutral,55,-0.011046180256269245,False
long_tqqq,TQQQ,2018-08-10 10:54:00-04:00,2018-08-10 11:04:00-04:00,1,8085.34506193488,4.1226853125,4.1373053125000006,118.20774480549395,0.003546232344164846,score_neutral,10,-0.0004997501249374148,False
long_tqqq,TQQQ,2018-08-10 14:03:00-04:00,2018-08-10 15:16:00-04:00,1,8138.424426463613,4.095796875,4.091703125,-33.316674995828244,-0.0009995002498748295,score_neutral,73,-0.007671736650758487,False
