stop_pct,tp_pct,trades,total_return_pct,win_rate,mean_trade_bps,ci_lo_bps,ci_hi_bps,sharpe,max_dd_pct,profit_factor
0.5,0.0,44,-1.6315329293486975,0.29545454545454547,-12.477847285681419,-33.4127983569659,10.592295909449607,-1.6588774071652137,-1.4809311038623783,0.7313843308546383
0.5,0.5,44,-3.0106894659247945,0.38636363636363635,-18.934706391783017,-32.70454545454579,-4.179700904032655,-5.8591573774180885,-2.755201086266236,0.42920154476376665
0.5,1.0,44,-2.737348547918651,0.29545454545454547,-19.1142001326503,-36.3512962411981,-0.3438874635124166,-3.910767629939038,-2.5911840333070213,0.5493227880011101
0.5,2.0,44,-1.430710895195569,0.29545454545454547,-11.108606143728244,-32.56866359195529,12.789679270468122,-1.3543253358117917,-1.2793032303079455,0.7644476813471774
0.5,3.0,44,-1.0977108951955663,0.29545454545454547,-8.83815159827371,-31.94687364667429,17.295624639603602,-0.8556673186420606,-1.1524207983780839,0.8192728192382736
1.0,0.0,44,-2.8939809468888176,0.5,-7.41257803493204,-38.896261556711025,27.107296133735666,-1.6996439887221957,-3.5403440576736314,0.7099456120293817
1.0,0.5,44,-2.959349977308064,0.6363636363636364,-11.064719055480232,-31.4257961291533,8.863890815386124,-2.666812288179025,-3.253438424728257,0.5800378712756626
1.0,1.0,44,-3.7097800216755155,0.5227272727272727,-16.61245444701506,-41.145164468695675,8.193494349657726,-2.672604690838348,-4.691618447591392,0.5987130676652412
1.0,2.0,44,-3.4021423689524335,0.5,-10.877315003547611,-39.825377122207655,19.363760447797837,-2.172556399885541,-3.611788846970864,0.6590142296284719
1.0,3.0,44,-2.7361423689524282,0.5,-6.336405912638495,-37.927739809140576,27.457266228979286,-1.6073294603794988,-3.5215011191597783,0.7257652642529769
1.5,0.0,43,-2.141788242851695,0.5813953488372093,-1.5764182434463425,-38.08189700497331,36.04222323509657,-1.1102312290801302,-3.7832024438156537,0.7829224197946841
1.5,0.5,43,-4.129454211403855,0.6511627906976745,-16.27273200312782,-41.9255959062543,7.50898719276352,-3.5270559580282854,-4.262461315506042,0.49743833619492395
1.5,1.0,43,-2.624587317638378,0.6046511627906976,-9.828617362787062,-39.26923911194308,18.09030222596786,-1.7873638784142907,-3.2460672345468136,0.7017784794250513
1.5,2.0,43,-2.6499496649153103,0.5813953488372093,-5.12173049040181,-39.04146100917793,28.309067978785045,-1.5525314496244562,-3.58152506636398,0.7314185177523476
1.5,3.0,43,-1.9839496649153057,0.5813953488372093,-0.4752188624948076,-37.14477902891298,36.69001066384733,-1.011446861990035,-3.247106749297245,0.7989199007201837
2.0,0.0,42,-3.4712796375464428,0.5714285714285714,-3.9123603104568305,-44.12804627830238,35.914465175986855,-1.5815373300519755,-5.693739187103372,0.6802706317673005
2.0,0.5,42,-4.187420530200978,0.6428571428571429,-16.32040150763924,-45.27572745671548,9.201060071576524,-3.053721313400013,-4.580563897226391,0.4771243285755626
2.0,1.0,42,-2.921745378999794,0.5952380952380952,-11.171754646924718,-44.2207848519798,19.35739121751732,-1.7076339951696369,-4.112632785820548,0.6664267096884099
2.0,2.0,42,-3.9794410596100582,0.5714285714285714,-7.542084753768381,-44.78643316747736,28.403709971222106,-1.9666341379553771,-5.491724021793674,0.6334653762415688
2.0,3.0,42,-3.313441059610054,0.5714285714285714,-2.7849418966254973,-42.30128784010961,36.501816322462766,-1.5010729477854268,-5.156745590110037,0.6948086794257194
3.0,0.0,42,-3.3746491031170147,0.5952380952380952,1.876458140769099,-40.63772338737835,42.410625348951704,-1.7841169486760795,-5.78913994859356,0.692406288462938
3.0,0.5,42,-2.7032815046915593,0.6666666666666666,-5.576195588270441,-33.18722346551877,17.47748885586119,-2.619659698531245,-3.6919585166733673,0.6019105443831199
3.0,1.0,42,-1.8261148445703739,0.6190476190476191,-3.004364767127372,-38.271155392584355,26.188526233273894,-1.537839025907682,-3.3914408753082714,0.7680866368109263
3.0,2.0,42,-3.8828105251806297,0.5952380952380952,-1.7532663025424506,-42.17084141391365,35.05417091191864,-2.1192146602938493,-5.588957584230048,0.6460882112062166
3.0,3.0,42,-3.2168105251806254,0.5952380952380952,3.0038765546004322,-39.60191789454175,43.21123291548996,-1.7120202863163505,-5.257018274810329,0.7067930150610728
5.0,0.0,42,-5.442085826281911,0.5952380952380952,-4.712083748894113,-55.034039454392804,40.50434110560441,-2.164286022536468,-7.408048548162731,0.5826160982117062
5.0,0.5,42,-2.995363221915651,0.6666666666666666,-8.997916006927934,-43.52685011041899,17.47934045976204,-2.7911497277665096,-3.8963976711894817,0.5770885741574627
5.0,1.0,42,-1.8955515677352652,0.6190476190476191,-4.835763799647728,-43.25513546148596,26.437128238701032,-1.5835466087755568,-3.4166745751352763,0.7613725934067948
5.0,2.0,42,-5.950247248345527,0.5952380952380952,-8.341808192205661,-57.191008050998576,33.50549334981075,-2.4230161546726006,-7.207866183799205,0.5436423657404365
5.0,3.0,42,-5.2842472483455225,0.5952380952380952,-3.5846653350627795,-54.31208453917791,41.37386221093402,-2.1063347011260154,-6.875926874379501,0.5947216187078457
