side,symbol,entry_ts,exit_ts,tranches,shares,avg_cost,exit_price,pnl,ret,reason,hold_minutes,max_adverse_pct,gap_fill
long_tqqq,TQQQ,2026-06-23 04:11:00-04:00,2026-06-23 07:14:00-04:00,1,435.3617818312861,76.56467500000001,76.06573000000002,-217.22158423580757,-0.00651664752707426,score_neutral,183,-0.015342258032180034,False
long_tqqq,TQQQ,2026-06-23 08:33:00-04:00,2026-06-23 09:32:00-04:00,3,1325.8577293762837,75.42287364952985,75.24696,-233.23647193193742,-0.002332364719319413,score_neutral,59,-0.015285464392233994,False
long_tqqq,TQQQ,2026-06-23 14:54:00-04:00,2026-06-23 15:04:00-04:00,2,899.3996571599861,74.12351798885324,74.86753,669.1641477483122,0.010037462216224702,score_neutral,10,-0.0026446041362926387,False
long_tqqq,TQQQ,2026-06-23 19:12:00-04:00,2026-06-23 19:21:00-04:00,1,447.3576373790567,74.51160000000002,74.538025,11.821425567736672,0.0003546427670320096,score_neutral,8,-0.0017661679523728324,False
long_tqqq,TQQQ,2026-06-24 13:38:00-04:00,2026-06-24 14:15:00-04:00,1,459.1448230238905,72.598735,72.96039499999999,166.05431669481396,0.004981629500844464,score_neutral,37,-0.005767800224067199,False
long_tqqq,TQQQ,2026-06-24 14:59:00-04:00,2026-06-24 15:26:00-04:00,2,927.5071746712038,71.8772517207747,72.101685,208.1634767164597,0.0031224521507469127,score_neutral,27,-0.008021190344036366,False
long_sqqq,SQQQ,2026-06-24 16:42:00-04:00,2026-06-24 17:12:00-04:00,1,869.245448446117,38.347435000000004,38.50216,134.4940020108247,0.004034820060324851,score_neutral,30,-0.012711019654900069,False
long_sqqq,SQQQ,2026-06-25 04:09:00-04:00,2026-06-25 04:42:00-04:00,2,1766.8699932045402,37.73150651891174,37.773255,73.764138496706,0.0011064620774505762,score_neutral,30,-0.0030873032451852467,False
long_tqqq,TQQQ,2026-06-25 10:07:00-04:00,2026-06-25 10:32:00-04:00,1,453.0203922825891,73.580205,74.18855,275.59269054315166,0.008267780716294526,score_neutral,25,-0.00842896537186888,False
long_tqqq,TQQQ,2026-06-25 18:30:00-04:00,2026-06-25 18:44:00-04:00,1,449.9582022576967,74.080955,74.20852,57.398918070998555,0.001721967542130054,score_neutral,12,-0.001902715751977091,False
long_tqqq,TQQQ,2026-06-26 04:13:00-04:00,2026-06-26 05:40:00-04:00,1,455.9370989178332,73.1095,72.461145,-295.60909776886956,-0.008868272933066135,score_neutral,85,-0.015859771985856752,False
long_tqqq,TQQQ,2026-06-26 16:11:00-04:00,2026-06-26 17:56:00-04:00,1,464.7222594387297,71.72743000000001,71.37278,-164.81374930994855,-0.004944412479298443,score_neutral,96,-0.005959087060557144,False
long_sqqq,SQQQ,2026-06-29 04:09:00-04:00,2026-06-29 05:05:00-04:00,1,837.7399501888202,39.789595,39.82018000000001,25.622276376532763,0.0007686682912959597,score_neutral,56,-0.005770227115908022,False
long_sqqq,SQQQ,2026-06-29 13:50:00-04:00,2026-06-29 14:25:00-04:00,1,869.0184914099693,38.35745,38.3424,-13.078728295721975,-0.0003923618488717029,score_neutral,35,-0.002019164464791001,False
long_sqqq,SQQQ,2026-06-30 04:09:00-04:00,2026-06-30 04:34:00-04:00,2,1755.917078396298,37.966865,37.952985,-24.372129048141208,-0.0003655819357221146,score_neutral,25,-0.0028146911787423345,False
long_sqqq,SQQQ,2026-06-30 07:13:00-04:00,2026-06-30 07:25:00-04:00,1,881.6796879735582,37.806625000000004,37.82318000000001,14.59620723440567,0.00043788621703222397,score_neutral,12,-0.0028202729019054518,False
long_sqqq,SQQQ,2026-06-30 09:44:00-04:00,2026-06-30 10:03:00-04:00,1,885.6681272219752,37.63637,36.828317136100004,-715.6666666666622,-0.021469999999999878,stop,19,-0.020628184917939718,False
long_sqqq,SQQQ,2026-06-30 11:47:00-04:00,2026-06-30 14:00:00-04:00,3,2733.0240836808634,36.5895055945936,36.28549,-830.8819418388491,-0.008308819418388458,score_neutral,133,-0.010918584115895524,False
