stop_pct,tp_pct,trades,total_return_pct,win_rate,mean_trade_bps,ci_lo_bps,ci_hi_bps,sharpe,max_dd_pct,profit_factor
0.5,0.0,120,-9.265233122224673,0.35,-20.036651833650378,-28.187686211407158,-11.420630475056033,-10.131616021128632,-9.089333023977874,0.37378190062168754
0.5,0.5,120,-8.410113676664691,0.4,-18.024560063633306,-25.5051480757981,-10.445279237278857,-10.532661658635842,-8.099652894033238,0.371229742089391
0.5,1.0,120,-8.860800082593267,0.35833333333333334,-18.85406869570664,-27.061753743820244,-10.181772073906346,-9.39692634877317,-8.682938208345131,0.392917243041508
0.5,2.0,120,-9.265233122224673,0.35,-20.036651833650378,-28.187686211407158,-11.420630475056033,-10.131616021128632,-9.089333023977874,0.37378190062168754
0.5,3.0,120,-9.265233122224673,0.35,-20.036651833650378,-28.187686211407158,-11.420630475056033,-10.131616021128632,-9.089333023977874,0.37378190062168754
1.0,0.0,117,-11.30489821896998,0.46153846153846156,-21.626634540224074,-33.47038555295282,-10.073535010759793,-8.907978704910919,-10.833343447950737,0.39410983455744464
1.0,0.5,117,-9.520435372787453,0.5213675213675214,-18.624851366828786,-29.594327388297447,-8.143599312581715,-7.667711901205123,-9.007438424348626,0.41244812709023954
1.0,1.0,117,-10.71435471108665,0.4700854700854701,-19.93652242886656,-31.91994847917492,-8.454999624890773,-8.2148780854934,-10.507494063979482,0.414259945286946
1.0,2.0,117,-11.30489821896998,0.46153846153846156,-21.626634540224074,-33.47038555295282,-10.073535010759793,-8.907978704910919,-10.833343447950737,0.39410983455744464
1.0,3.0,117,-11.30489821896998,0.46153846153846156,-21.626634540224074,-33.47038555295282,-10.073535010759793,-8.907978704910919,-10.833343447950737,0.39410983455744464
1.5,0.0,117,-5.706245395475521,0.5299145299145299,-11.853032126171938,-24.87623374871104,0.577723024141733,-3.1413391405352717,-6.907760270601074,0.6310492411216347
1.5,0.5,117,-5.789230264143603,0.5811965811965812,-11.049474523460043,-23.270199158024795,0.211829472356655,-3.5892300717306247,-5.967443327724842,0.5858832590523942
1.5,1.0,117,-4.979580422662171,0.5384615384615384,-9.797404443020017,-22.919605617883864,2.3786824711961523,-2.660037131817251,-6.792177398937495,0.6665454373995773
1.5,2.0,117,-5.706245395475521,0.5299145299145299,-11.853032126171938,-24.87623374871104,0.577723024141733,-3.1413391405352717,-6.907760270601074,0.6310492411216347
1.5,3.0,117,-5.706245395475521,0.5299145299145299,-11.853032126171938,-24.87623374871104,0.577723024141733,-3.1413391405352717,-6.907760270601074,0.6310492411216347
2.0,0.0,117,-5.544353267235584,0.5641025641025641,-8.412506615861975,-22.54365085164536,4.517057237480495,-3.3981792244064213,-7.429684953668693,0.6674279943570706
2.0,0.5,117,-5.4627231205888185,0.6068376068376068,-8.760139967336602,-21.767975256518003,2.916765352338693,-3.478721316872865,-7.071113380836323,0.632181934559019
2.0,1.0,117,-3.9088995626026475,0.5726495726495726,-5.89324183998676,-19.77708355500674,6.630655206362123,-2.5825253617079915,-7.2467507639438224,0.7440558316938007
2.0,2.0,117,-5.544353267235584,0.5641025641025641,-8.412506615861975,-22.54365085164536,4.517057237480495,-3.3981792244064213,-7.429684953668693,0.6674279943570706
2.0,3.0,117,-5.544353267235584,0.5641025641025641,-8.412506615861975,-22.54365085164536,4.517057237480495,-3.3981792244064213,-7.429684953668693,0.6674279943570706
3.0,0.0,117,-3.7359148990218722,0.5641025641025641,-4.909531475012962,-18.680291360041025,7.623795766563534,-2.3619025091024537,-5.5610231313412966,0.7486381750953895
3.0,0.5,117,-2.9882847523751135,0.6068376068376068,-4.403318672641441,-16.82605971649221,6.267904309283195,-2.0646590109825125,-5.16762048437861,0.7585665447375701
3.0,1.0,117,-1.4344611943889434,0.5726495726495726,-1.536420545291598,-14.66979128227783,9.954317672970143,-1.2529964916714806,-5.371550781729045,0.8879154805904207
3.0,2.0,117,-3.7359148990218722,0.5641025641025641,-4.909531475012962,-18.680291360041025,7.623795766563534,-2.3619025091024537,-5.5610231313412966,0.7486381750953895
3.0,3.0,117,-3.7359148990218722,0.5641025641025641,-4.909531475012962,-18.680291360041025,7.623795766563534,-2.3619025091024537,-5.5610231313412966,0.7486381750953895
5.0,0.0,117,-6.13839348857759,0.5641025641025641,-5.155671292514464,-21.48426292327495,8.663031916489908,-2.5759470925729726,-7.654205171245683,0.644463904136169
5.0,0.5,117,-2.360430008597489,0.6068376068376068,-2.941766182450627,-15.881788983340154,7.627236839686349,-1.7496264845665963,-4.549030751961618,0.799102178308381
5.0,1.0,117,-0.8066064506113182,0.5726495726495726,-0.07486805510078436,-13.625691815566517,11.397413378844918,-0.9007436388781545,-4.762478773733026,0.9337226996749168
5.0,2.0,117,-6.13839348857759,0.5641025641025641,-5.155671292514464,-21.48426292327495,8.663031916489908,-2.5759470925729726,-7.654205171245683,0.644463904136169
5.0,3.0,117,-6.13839348857759,0.5641025641025641,-5.155671292514464,-21.48426292327495,8.663031916489908,-2.5759470925729726,-7.654205171245683,0.644463904136169
