stop_pct,tp_pct,trades,total_return_pct,win_rate,mean_trade_bps,ci_lo_bps,ci_hi_bps,sharpe,max_dd_pct,profit_factor
0.5,0.0,4579,-594.4457438096965,0.22362961345271892,-32.06399360304899,-33.412428744711015,-30.752767406079876,-0.27536598778189103,-596.109133737747,0.18667732342676746
0.5,0.5,4589,-594.3774444039976,0.2534321202876444,-31.834657252579483,-32.9843604331195,-30.69495536570687,0.5077348024893463,-595.927355204286,0.15136170475421742
0.5,1.0,4580,-596.0438710034999,0.2279475982532751,-32.12160751026173,-33.39179542525275,-30.84003566748783,0.4141886446075451,-597.7118937614747,0.17938807868350692
0.5,2.0,4579,-594.2246490320692,0.22384800174710637,-32.05160338434832,-33.38427873659688,-30.751446515763654,-0.043233302973115076,-595.8873980258398,0.18673901783347263
0.5,3.0,4579,-592.9043960299708,0.22362961345271892,-31.963009909247347,-33.3166697272687,-30.640459231559355,-0.27541523337292395,-594.5633177266151,0.18878620067047108
1.0,0.0,4542,-685.9648254240897,0.30779392338177014,-31.88549855300636,-33.828375140202816,-30.01800556539585,0.42348144017886147,-687.893521106036,0.23681147894386548
1.0,0.5,4562,-689.2660404521314,0.3397632617273126,-31.844867673847514,-33.512173851757666,-30.217405614558626,0.47218013300701644,-691.0910249317717,0.18094823339281213
1.0,1.0,4543,-694.3767467397081,0.31300902487343163,-32.242064897883736,-34.055099945667656,-30.424035439466728,0.4270961619176409,-696.3298278403781,0.21994723654696685
1.0,2.0,4542,-685.0276543433473,0.30823425803610743,-31.82743231762672,-33.716811443889235,-29.965013152104746,-0.3128260342429837,-686.9536332489042,0.23720184876969075
1.0,3.0,4542,-684.732454444963,0.30779392338177014,-31.804100205640005,-33.731016275372866,-29.925351570791815,0.4233752893526157,-686.6575775920243,0.2381825862515481
1.5,0.0,4531,-744.443059523144,0.3348046788788347,-31.090076277099637,-33.2964540908382,-28.88687983360768,0.30675717850559975,-747.0785671177134,0.24122816829837354
1.5,0.5,4550,-740.3498124092889,0.3648351648351648,-30.82451377156234,-32.754439140511344,-28.95823263722604,0.42263128726291893,-742.7800143923331,0.18566300323555798
1.5,1.0,4532,-749.8461257742152,0.33980582524271846,-31.374759083087422,-33.45424586540639,-29.29476302320219,0.3422037835541341,-752.4972963817843,0.2255510477310944
1.5,2.0,4531,-739.8399094758424,0.3354667843743103,-30.894599006308024,-33.07561681070415,-28.68125944295896,0.38022483813449126,-742.4620729440059,0.24422752659748295
1.5,3.0,4531,-740.7697021492958,0.3348046788788347,-30.954607300447655,-33.164371566619494,-28.737899319906333,0.3060920809158446,-743.3945610044962,0.2449722291333752
2.0,0.0,4523,-769.303808447835,0.3451249170904267,-29.79651891703408,-32.201582249304145,-27.417411198765052,-0.012547429598272784,-772.0113851630689,0.24711537867447106
2.0,0.5,4544,-771.2283168538642,0.3743397887323944,-29.826902375462605,-31.87586405493249,-27.743415883201653,-0.1728528636221074,-773.7480329006024,0.18499763570502856
2.0,1.0,4524,-779.0628943073823,0.34969053934571176,-30.34444944986739,-32.64831524713874,-28.104015024465244,0.28278691516805227,-781.7987617526549,0.22650798646905357
2.0,2.0,4523,-766.4475620020546,0.3457881936767632,-29.72450003867177,-32.10167877539764,-27.39205696328576,0.06266434749835709,-769.1468587105051,0.2478033336199627
2.0,3.0,4523,-767.7851981990802,0.3451249170904267,-29.803729663069436,-32.17652885951305,-27.446854241007333,-0.012821892090229044,-770.4883725970071,0.2486015773511439
3.0,0.0,4515,-799.5777534795761,0.351937984496124,-28.589371040482785,-31.2512961619204,-25.931562358223466,0.4334954142785864,-802.373091694034,0.24676264550606036
3.0,0.5,4537,-803.2561101692842,0.37976636543971787,-29.08567044505258,-31.38993802473304,-26.773951829223936,-0.2224680321417516,-805.8686719668907,0.1816969570110078
3.0,1.0,4516,-811.3322557378613,0.3558458813108946,-29.357233424946845,-31.807059805958733,-26.79679211486165,0.490116312954935,-814.1616692186823,0.22358236747014723
3.0,2.0,4515,-795.8906018517638,0.3526024363233666,-28.473201900444142,-31.093071901003963,-25.848234431133925,0.2990137249141499,-798.6752513385258,0.24724348494230514
3.0,3.0,4515,-798.1062898307514,0.351937984496124,-28.599727227480972,-31.214434648992192,-25.955357824456733,0.41804674629492794,-800.8973624017412,0.24814882887753548
5.0,0.0,4510,-772.9924060393697,0.35476718403547675,-26.643201547461093,-29.395993992410318,-23.934787798130166,-0.1498511150483468,-775.7106756740208,0.2596045401320018
5.0,0.5,4532,-782.8386603220615,0.38172992056487204,-27.700862303743417,-30.080889476890828,-25.42123252112022,0.43875972187865103,-785.3920337315326,0.187413970608621
5.0,1.0,4511,-789.8550648601715,0.3582354245178453,-27.640096526326275,-30.22228848952032,-25.16605312891502,-0.06253992331532018,-792.6222178569833,0.2322294231054791
5.0,2.0,4510,-769.274494928649,0.3554323725055432,-26.51842499716898,-29.21640508182401,-23.90259859770186,-0.26313136830835554,-771.9819866665733,0.2600845105514679
5.0,3.0,4510,-771.5209423905449,0.35476718403547675,-26.653569215819594,-29.373301678235123,-23.992214191686195,-0.17339097015969027,-774.2349463817279,0.2610139524320952
